date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10
10/02/19,BTC,ETH,XRP,LTC,EOS,TRX,XLM,ADA,XMR,NEO
17/02/19,BTC,ETH,XRP,LTC,EOS,TRX,XLM,ADA,XMR,NEO
24/02/19,BTC,ETH,XRP,EOS,LTC,XLM,TRX,ADA,XMR,NEO
3/03/19,BTC,ETH,XRP,LTC,XLM,TRX,ADA,XMR,NEO,DASH
10/03/19,BTC,ETH,LTC,EOS,XLM,TRX,ADA,XMR,NEO,DASH
17/03/19,BTC,ETH,XRP,LTC,EOS,XLM,TRX,ADA,XMR,NEO
24/03/19,BTC,ETH,XRP,LTC,EOS,XLM,ADA,TRX,XMR,NEO
31/03/19,BTC,ETH,XRP,EOS,LTC,XLM,ADA,TRX,XMR,DASH
7/04/19,BTC,ETH,XRP,LTC,EOS,XLM,ADA,TRX,DASH,XMR
14/04/19,BTC,ETH,XRP,LTC,EOS,XLM,ADA,TRX,XMR,DASH
21/04/19,BTC,ETH,XRP,EOS,LTC,XLM,ADA,TRX,XMR,DASH
28/04/19,BTC,ETH,XRP,EOS,LTC,XLM,ADA,TRX,XMR,DASH
5/05/19,BTC,ETH,XRP,LTC,EOS,XLM,ADA,TRX,XMR,DASH
12/05/19,BTC,ETH,XRP,LTC,EOS,XLM,ADA,TRX,XMR,DASH
19/05/19,BTC,ETH,XRP,EOS,LTC,XLM,ADA,TRX,XMR,DASH
26/05/19,BTC,ETH,XRP,LTC,EOS,XLM,ADA,TRX,XMR,DASH
2/06/19,BTC,ETH,XRP,EOS,LTC,XLM,TRX,ADA,XMR,DASH
9/06/19,BTC,ETH,XRP,LTC,EOS,XLM,ADA,TRX,XMR,DASH
16/06/19,BTC,ETH,XRP,LTC,EOS,XLM,ADA,TRX,XMR,DASH
23/06/19,BTC,ETH,XRP,LTC,EOS,ADA,TRX,XLM,XMR,LEO
30/06/19,BTC,ETH,XRP,LTC,EOS,TRX,ADA,XLM,LEO,XMR
7/07/19,BTC,ETH,XRP,LTC,EOS,TRX,ADA,XLM,XMR,LEO
14/07/19,BTC,ETH,XRP,LTC,EOS,TRX,XLM,ADA,XMR,LEO
