date,s378,s379,s380,s381,s433,s434,s593,s594
6/19/2017 8:00:00,0.011197769,0.013928607,0.018978942,0.015704181,0.009251454,0.277632183,0.002168785,-0.001904026
6/26/2017 8:00:00,-0.014456271,-0.012277137,-0.019580308,-0.033462737,-0.026055821,-0.1979126,-0.013893486,0.019864378
7/3/2017 8:00:00,-0.000202364,0.004571492,0.004325841,0.008789792,0.109556376,0.082891534,-0.001694907,0.007667116
7/10/2017 8:00:00,0,-0.01722223,-0.016476546,-0.048185216,-0.009202247,-0.001098053,-0.021607486,0.031020252
7/17/2017 8:00:00,0,0.006579116,-0.005152658,0.002564575,-0.010638936,-0.03278834,0.011223128,-0.013222442
7/24/2017 8:00:00,0,-0.006532818,0.016927984,-0.013344619,0.187587436,0.108080669,-0.001146142,0.007925112
7/31/2017 8:00:00,-0.010925933,0.002811704,-0.010491945,-0.00092578,-0.000825332,-0.047698595,0.009099039,-0.007836093
8/7/2017 8:00:00,0.002884783,0.015652019,0.019454875,0.050172802,0.009685474,-0.001031724,0.027951961,-0.030103538
8/14/2017 8:00:00,0.002410305,-0.00055539,0.004202645,-0.002153883,-0.00141676,0.026242261,0.00771294,0.007361915
8/21/2017 8:00:00,-0.000460327,0.020412929,0.012854014,0.038156705,0.003454553,0.014957293,0.004131829,-0.005350812
8/28/2017 8:00:00,0.008940594,0.028630863,0.025501735,0.109961866,0.013472778,0.064603346,0.015722189,-0.011165609
9/4/2017 8:00:00,-0.007021447,-0.00412652,-0.00973276,-0.016457861,-0.000218211,0.00588385,-0.010787833,0.007317883
9/11/2017 8:00:00,-0.000449956,-0.036420758,-0.000437684,-0.121771782,0,0.008803993,-0.006419865,0.004226931
9/18/2017 8:00:00,-8.19E-05,0.005844065,-0.010255075,0.011608809,0,-0.002875029,-0.00898926,0.003279579
9/25/2017 8:00:00,0,0.028872001,-0.001776202,0.115855054,-0.001217153,-0.000703244,0.000389265,-0.000963042
10/2/2017 8:00:00,0.001539697,-0.007616922,0.005721133,-0.030409983,-0.000258744,0,0.003599954,-0.003966552
10/9/2017 8:00:00,0.001879757,0.005870437,-0.004243621,0.042967731,-0.052184928,0.035486289,0.003653974,-0.002597398
10/16/2017 8:00:00,0.022060713,0.001720178,0.012911499,0.014533988,0.165964245,0.064539921,0.011742375,-0.006972646
10/23/2017 8:00:00,-0.009925438,-0.002680413,-0.010883425,-0.001354759,0.012060111,-0.086703832,-0.004319102,0.004318686
10/30/2017 8:00:00,0.000407598,0.001163758,0.007611514,0.036238753,0.035838345,0.053067591,0.006788761,-0.003451867
11/6/2017 7:00:00,0.008299914,0.025388561,0.007013832,0.050272265,0.107062928,-0.005364699,0.003484005,-0.001564984
11/13/2017 7:00:00,0.004938242,0.010391695,0.009613068,0.040564164,0.039861889,-0.002974364,0.004292851,-0.003857642
11/20/2017 7:00:00,0.003530734,0.010891167,0.017789359,0.042956774,-0.000708891,0.104935569,0.013523359,-0.010101771
11/27/2017 7:00:00,0.023982179,0.016836577,0.023814558,0.067362492,0.240221663,0.192858266,0.027967494,-0.018635382
12/4/2017 7:00:00,0.008096797,0.017367288,0.010557606,0.07635207,-0.009519949,0.099482389,0.005229948,0.000835418
12/11/2017 7:00:00,0.029510469,0.064562189,0.029812004,0.21624945,0.179994385,0.532384513,0.07874351,-0.016285983
12/18/2017 7:00:00,0.022044611,0.016245151,0.048339865,0.073912847,0.295468794,0.512608975,0.016087605,-0.016051691
12/25/2017 7:00:00,-0.017478997,-0.018427691,-0.018879454,-0.073686783,-0.000747854,-0.193173996,-0.010272773,0.009102862
1/1/2018 7:00:00,-0.000177909,0.0131527,-0.001588344,0.026017128,-0.014373378,-0.026261818,0.002143813,-0.002199899
1/8/2018 7:00:00,0.011637596,0.001407092,0.023379551,0.012700353,0.104464382,-0.000767711,0.021475578,-0.006556236
1/15/2018 7:00:00,0.003074387,-0.015942131,0.001011139,-0.046823377,-0.023321167,-0.00688087,-0.022871378,-0.010297757
1/22/2018 7:00:00,-0.006956116,0.0001128,-0.024582888,-7.56E-05,-0.157629443,-0.017698106,-0.003106908,0.002053672
1/29/2018 7:00:00,0.005217148,-0.01545954,0.004937734,-0.042680325,0.05815691,-8.36E-05,0.000908308,-0.008561115
2/5/2018 7:00:00,-0.039008626,-0.005308037,-0.038889312,-0.035545383,-0.180325209,0,-0.023921716,0.015270106
2/12/2018 7:00:00,-0.000161051,0.027216099,0.040826648,0.054347932,0.006555038,0,0.009312783,-0.016811774
2/19/2018 7:00:00,0.022047105,-0.010408443,0.021382236,-0.041160585,0.034220657,0.048984859,0.022008485,-0.013890405
2/26/2018 7:00:00,-0.001900169,0.008119337,-0.008154916,0.028734786,-0.000246584,-0.010757917,-0.004097469,-0.002185359
3/5/2018 7:00:00,-0.0033523,-0.019919874,0.000251008,-0.057993897,0,-0.000599566,-0.004822527,0.0067366
3/12/2018 8:00:00,-0.0185304,-0.015987515,-0.022389124,-0.056858266,0,-0.091961539,-0.014354399,0.003584392
3/19/2018 8:00:00,-0.001572151,0.000207009,-0.011456572,0.000262696,0,-0.082188906,-0.010640901,0.000932783
3/26/2018 8:00:00,-0.001199508,-0.024179468,-0.010999429,-0.066839496,-0.108144306,-0.000906748,-0.017636658,0.000977413
4/2/2018 8:00:00,-3.04E-05,-0.002448273,-0.01548227,-0.005125788,-0.188579782,-0.054003955,-0.003217052,0.008437746
4/9/2018 8:00:00,0,0.017197968,-0.003780723,0.042199501,0.032193428,-0.000219034,-0.005699714,-0.003519548
4/16/2018 8:00:00,0.018060649,0.014935302,0.019989995,0.040442359,0.220299831,0.201080244,0.00465602,-0.000743649
4/23/2018 8:00:00,0.025955221,0.012163164,0.026463805,0.048801452,0.095451167,0.146569724,0.022843619,-0.024793388
4/30/2018 8:00:00,-0.000263135,0.004809979,-0.001830007,0.013652901,0.027277461,0.014112568,-0.005143408,0.003999218
5/7/2018 8:00:00,0.005295485,-0.010906038,0.004322618,-0.032579402,0.004648746,0.052381694,5.83E-05,-1.29E-05
5/14/2018 8:00:00,-0.0036707,-0.006142869,-0.006798176,-0.012417495,-5.45E-05,-0.045464928,-0.00606424,-0.003816531
5/21/2018 8:00:00,-3.92E-05,-0.007815917,-0.004254519,-0.021398291,-0.003917756,-0.0008691,-0.005413049,-0.001726292
5/28/2018 8:00:00,-0.018796613,-0.007059465,-0.022404266,-0.014398193,-0.122436542,-0.098368527,0.010998899,-0.004257327
6/4/2018 8:00:00,0.000558371,0.002137408,0.007327498,0.004275697,0.056811783,0.022070656,-0.00893388,-0.001301719
6/11/2018 8:00:00,-0.011346119,-0.014961003,-0.012023042,-0.048496527,-0.094852557,-0.029418074,-0.00669184,-0.008752818
6/18/2018 8:00:00,-0.000109848,0.001750485,-0.001409438,0.003435614,-0.018319543,-0.005402924,0.001368276,-0.007782696
6/25/2018 8:00:00,-0.00550853,-0.016661508,-0.007087686,-0.050556931,-0.137798857,-0.000202062,-0.011261703,-0.008578859
7/2/2018 8:00:00,-0.000110614,0.014194606,0.005641944,0.04720418,0.045031444,0.010164813,-0.011713722,0.025105218
7/9/2018 8:00:00,-0.000519299,-0.008558584,-0.002023571,-0.034122979,-0.000809949,-0.017582965,-0.008246857,-0.000207119
7/16/2018 8:00:00,-1.47E-05,0.015066121,0.002287882,0.029866125,0.022045582,-0.000252499,0.000261312,-0.004818058
7/23/2018 8:00:00,-0.003474374,0.000734518,-0.00063519,0.003273367,-0.000622551,0.068129303,-0.000168369,-0.009398054
7/30/2018 8:00:00,0.001868023,-0.01064409,0.004214528,-0.032128386,0,0.007887435,-0.010335649,-0.005480321
8/6/2018 8:00:00,5.23E-05,-0.011182806,-0.009827448,-0.022617416,-0.098616111,-0.099190865,0.000805101,-0.003061519
8/13/2018 8:00:00,-0.003030244,-0.012366615,-0.024074587,-0.031618845,-0.213298687,-0.000747715,0.013558662,-0.003120167
8/20/2018 8:00:00,-1.25E-05,-0.002507555,-0.001851371,-0.005115275,-0.031480504,-0.007009792,-0.010134921,0.002327379
8/27/2018 8:00:00,0.010494765,0.007574357,0.010119146,0.021916297,0.014188815,0.019211411,-0.021116949,-0.024409755
9/3/2018 8:00:00,0.00943306,-0.006344565,0.009148582,-0.025265387,0.008836862,-0.000323514,0.006772136,-0.003813672
9/10/2018 8:00:00,-0.019923782,-0.006129631,-0.021498199,-0.016515962,-0.24577255,-0.114691416,0.000949473,-0.006010323
9/17/2018 8:00:00,-9.20E-05,0.002244351,-0.004064612,0.004144343,-0.002016829,-0.036835869,0.000794653,-0.00026874
9/24/2018 8:00:00,0.01076796,0.006619593,0.012493021,0.013246684,0.108794645,-0.00090172,-0.007047354,-0.009017804
10/1/2018 8:00:00,-9.28E-05,-0.005699766,-0.00038836,-0.024932085,0.035152154,0.017782287,-0.001633026,-0.004408064
10/8/2018 8:00:00,-0.000381431,-0.012192907,-0.000646779,-0.024510187,-0.01005489,-0.003949977,-0.018350066,-0.021043086
10/15/2018 8:00:00,-0.002036598,0.006189084,-0.005944971,0.018760027,-0.021935303,-0.030284835,0.000481807,-0.00331209
10/22/2018 8:00:00,-5.57E-05,0.000182856,-0.000836627,0.000731661,-0.04606948,-0.00072643,0.000622498,0.001108611
10/29/2018 8:00:00,-0.000685463,-0.004274835,-0.006483797,-0.015783113,-0.0437138,-0.060082406,0.000916296,9.26E-05
11/5/2018 7:00:00,-2.19E-05,0.006029335,0.006209022,0.01195162,0.012322668,0.003527114,-0.00257428,-0.016237827
11/12/2018 7:00:00,-0.000277005,-0.015561767,-0.000556201,-0.062008636,-0.033964784,-0.004279537,0.004289591,0.001855466
11/19/2018 7:00:00,-0.00184094,-0.029345445,-0.028518859,-0.058992312,-0.206822794,-0.113180627,0.002853597,-0.009239575
