,BTC,ETH,ADA,LTC,XRP,DOGE,DOT,SOL,UNI,LUNA
12/07/21,-0.034049761,-0.050757151,-0.021663328,-0.007221023,-0.012449698,-0.039344566,-0.037733411,-0.04283806,-0.050087192,-0.064534904
13/07/21,-0.010520588,-0.044510094,-0.040191097,-0.013272346,-0.013354769,-0.037390383,-0.049956355,-0.054102298,-0.058439572,-0.096845874
14/07/21,0.002830527,0.028032567,-0.00371336,-0.003799681,0.000693716,-0.009810792,-0.024524701,0.074832733,-0.031466638,-0.02477259
15/07/21,-0.028414627,-0.037744361,-0.027676447,-0.038828286,-0.035548462,-0.064452533,-0.048688596,-0.089286854,-0.045853604,-0.039054278
16/07/21,-0.0144873,-0.02159759,-0.043063372,-0.041984127,-0.014442606,-0.070892095,-0.081416603,-0.078551649,-0.036746176,-0.013412146
17/07/21,0.004200076,0.012042632,-8.52297E-05,-0.006130395,-0.011821774,0.091305612,0.018986817,0.019248326,-0.019286931,-0.012408382
18/07/21,0.008238276,-0.004024126,0.010228435,-0.0060015,0.007878205,-0.0326672,0.031163548,-0.002836456,0.020596811,0.000538909
19/07/21,-0.030012571,-0.038669141,-0.054083699,-0.05148847,-0.049982119,-0.042144116,-0.09610984,-0.083988322,-0.045529147,-0.081546914
20/07/21,-0.03421351,-0.017692308,-0.059049148,-0.051189108,-0.051428674,-0.01725427,-0.04137931,-0.040042494,-0.070373201,-0.017911598
21/07/21,0,0,0,0,0,0,0,0,0,0
22/07/21,0.084236304,0.132844837,0.125414731,0.125139769,0.119526806,0.120091297,0.198342592,0.181024943,0.205384668,0.253083787
23/07/21,0.04115099,0.048980398,0.016172507,0.028819876,0.028611458,0.019280004,0.018314462,0.027678668,0.057459506,0.073631326
24/07/21,0,0.028900918,0,0,0,0,0,0,0,0
25/07/21,0.052451709,0.003110847,0.017572944,0.027690574,-0.002691304,0.015685872,0.025223881,-0.010415571,-0.017413738,0.047175195
26/07/21,0.052378935,0.016418115,0.023867709,0.026944466,0,0.029726456,0.018998399,0,0,0
27/07/21,0.059833646,0.03392112,0.018696794,0.028983296,0.063087226,0.008871244,0.027716265,-0.005634701,0.034131933,0.152007266
28/07/21,0.013088608,-0.001822679,0.005545142,0.041138537,0.134072159,-0.003012048,0.010843122,-0.007306034,0.0047075,0.153615693
29/07/21,0.000476329,0.036563628,-0.001941748,0.007546632,0.023870941,-0.0019004,0.048820738,0.123213901,0.030323769,0.00692546
30/07/21,0.054412115,0.033088358,0.02,0.028688525,0.003772428,0.019381926,0.036124041,0.031995142,0.071176741,-0.017285068
31/07/21,-0.018370651,0.026759378,0.004043641,-0.008723726,-0.010570909,-0.004454023,0.058719312,0.135100815,0.036872734,-0.011603278
1/08/21,-0.037935278,0.011190194,0.003115502,-0.027510221,-0.028266559,-0.016548805,0.10273727,-0.065213239,0.011501127,0.113947638
2/08/21,-0.017998438,0.019551871,-0.008711461,0.007410574,0.019516844,-0.005331898,-0.023630156,-0.029919145,0.017328421,0.031783205
3/08/21,-0.02381786,-0.037740191,0.044322176,-0.020441364,-0.033625969,-0.035703747,-0.034360255,0.024252272,-0.047523247,0.196741245
4/08/21,0.039929874,0.086571804,0.00731743,0.029171781,0.024561895,0.027386781,0.100942745,0.051233843,0.106688571,-0.015714963
5/08/21,0.028784943,0.037782913,0.008789772,0.006244299,0.003899729,-0.002482005,-0.00093985,0.047563157,0.080244296,0.003234464
6/08/21,0.048108201,0.022233219,0.008929214,0.031027751,0.017855439,0.019905449,0.067628306,0.055514059,0.028229289,-0.004252984
7/08/21,0.039996266,0.092081604,0.053029762,0.054777845,0.092920176,0.275042693,0.025748972,-0.003816312,0.080377258,0.004960044
8/08/21,-0.017389158,-0.047208942,-0.032804663,-0.040584728,-0.046253186,-0.081470993,-0.063042856,-0.046757662,-0.056796494,-0.082259391
9/08/21,0.056840557,0.051575169,0.035108619,0.112670409,0.0508087,0.069407991,0.049304742,0.02877066,0.063251771,0.042276666
10/08/21,-0.014481123,-0.007742384,0.135738948,-0.006606607,0.041065578,0.003389302,0.000631037,0.051715217,0.013920705,0.198222732
11/08/21,-0.001775848,0.007356922,0.069086791,0,0.188186249,0.027255785,0.037547298,0.030034684,0.010636079,0
